,Group Name,Primary Contact Email
0,ACE University of Toronto St. George Student Chapter,aceutsg@gmail.com
1,African Studies Course Union,asc.union@gmail.com
2,AIESEC Toronto,easha.afrin@aiesec.net
3,Ascend University of Toronto Student Chapter,ascenduoft@gmail.com
4,Ask An Undergrad – UofT Student Chapter,aauuoft@gmail.com
5,Association of Macedonian Students at the University of Toronto,amsut.utsg@gmail.com
6,Biochemistry Undergraduate Student Society (BUSS),
7,Bioinformatics Society for Networking and Collaboration (BIO-SYNC),biosync.directors@gmail.com
8,Biomedical Engineering Students’ Association,besa.bme@utoronto.ca
9,Black Doctors of Tomorrow,blackdot.cos@gmail.com
10,Black Graduate Students’ Association (BGSA),bgsa@studentorg.utoronto.ca
11,BLINKS University of Toronto,blinksuoft24@gmail.com
12,Brazilian Student Association University of Toronto Student Chapter (BRASA UofT),brasauoft@gmail.com
13,Canadian Association for Research in Regenerative Medicine (CARRM) – St George Student Chapter,carrm.utsg@gmail.com
14,Canadian Association of Latin Medical Students at the University of Toronto (CALMS at UofT) Student Chapter,calms.uoft@gmail.com
15,Canadian Black Nurses Alliance – University of Toronto Student Chapter,cbna.uoft@gmail.com
16,Canadian Society for Civil Engineering University of Toronto Student Chapter (CSCE UofT),csce@g.skule.ca
17,CAUSE Tutoring Toronto Chapter,causetoronto@gmail.com
18,Cell & System Biology Student Union (CSBSU) Mentorship Program,csbsu.uoft@gmail.com
19,Center for New Immigrant Well-Being (CNIW) – University of Toronto Student Chapter,yang.lou@mail.utoronto.ca
20,Chinese Students and Scholars Association (UTCSSA),vpcampus@utcssa.ca
21,Chinese Youth Finance Summit,zeheng.fei@mail.utoronto.ca
22,Cinema Studies Graduate Student Union,csgraduatestudentunion@gmail.com
23,Civil and Mineral Engineering Graduate Students Association,praveen.siluvaiantony@mail.utoronto.ca
24,Clinical Psychology Students’ Association (CPSA),cpsa.uoft@gmail.com
25,Club For Undergraduate Biomedical Engineering (CUBE),cube@g.skule.ca
26,Computer Science Students Union (CSSU),utcssu@gmail.com
27,Concussion Legacy Foundation UofT Student Chapter (CLF UofT),teamuptoronto@concussionfoundation.ca
28,Criminology & Sociolegal Studies Students’ Association (CRIMSA),crimsa.exec@gmail.com
29,Discovery,discovery@utoronto.ca
30,Enactus University of Toronto St. George Student Chapter,enactusuoftsg@gmail.com
31,EnToronto (ENT),kaye.toews@mail.utoronto.ca
32,Faculty of Music Undergraduate Association (FMUA),fmua@utoronto.ca
33,Filipino Students’ Association of Toronto (FSAT),fsat.fsat@gmail.com
34,Formula SAE Racing Team,team@fsaeutoronto.ca
35,Fundamental Genetics and Its Applications Students’ Association (FGASA),fgasa.club@gmail.com
36,Generation Screwed – University of Toronto Student Chapter (GS UofT),dy.zhang@mail.utoronto.ca
37,Global Health Students’ Association (GloHSA),glohsauoft@gmail.com
38,Global Medical Missions Alliances,gmma.toronto@gmail.com
39,Graduate Business Council (GBC),gbc@rotman.utoronto.ca
40,Graduate Engineering Council of Students (GECoS),
41,Graduate Management Consulting Association,gmca.uoft@gmail.com
42,Graduate Super Women Engineers University of Toronto (GradSWE),gradswe@studentorg.utoronto.ca
43,HanVoice UofT (HVUT) Student Chapter,uoft@hanvoice.ca
44,Hart House Debating Club,
45,Hart House Finance Committee,hhfinance@studentorg.utoronto.ca
46,Health Occupations Students of America – University of Toronto St. George Student Chapter,hosauoft@gmail.com
47,Healthcare Student Association (HCSA),uofthcsa@gmail.com
48,Human Biology Students’ Union,hbsu.utoronto@gmail.com
49,Innovation OnBoard UofT Student Association,innovationboard.uoft@gmail.com
50,Korean Students’ Association (KSA),info.utksa@gmail.com
51,Law and Business Student Association UTSG (LBASG),thelawandbusinessassociation@gmail.com
52,Librarians Without Borders – University of Toronto Student Chapter,librarianswb.uoft@gmail.com
53,Life Science Career Development Syndicate (LSCDS),contact@lscds.org
54,Life Science Connection,utlsc666@gmail.com
55,Medics in Armenia Student Chapter at University of Toronto,medicsinarmeniauoft@gmail.com
56,Mindfulness Meditation Student Group of University of Toronto (MMG UofT),anjaly.mallawaarachchi@mail.utoronto.ca
57,Mobile Application Development Club (MAD Club),UofTMadClub@outlook.com
58,"Multi-Organ Transplant Insight, Outreach, and Networking Student Chapter",motionsuoftoronto@gmail.com
59,Muslim Educators Association (MEA),oise.muslimeducatorsassociation@gmail.com
60,Near and Middle Eastern Civilizations Graduate Students’ Association,nmcgsa@studentorg.utoronto.ca
61,NEXT Business Simulation Association,cecily.wang@mail.utoronto.ca
62,Not Just Tourist (University of Toronto Student Chapter),uoft@njt.net
63,Nursing Undergraduate Society (NUS),ask@uoftnus.com
64,Ontario Water Works Association (OWWA) – Student Chapter,owwasc@utoronto.ca
65,Pharmacology and Toxicology Students Association,information.ptsa@gmail.com
66,Pre-Pharm Student Association (PPSA),ppsa.uoft@gmail.com
67,Psychology Students’ Association,psa.psych@gmail.com
68,Pueblo Science University of Toronto Student Chapter,puebloscience.uoft@gmail.com
69,QueerSphere Grad Chapter (QSGrad),grad@queersphere.skule.ca
70,Rational Capital Investment Fund,rational.capital@studentorg.utoronto.ca
71,Robotics for Space Exploration (RSX),rsx.utoronto@gmail.com
72,Rotaract Club University of Toronto Student Chapter,president.uoftrotaract@gmail.com
73,Science Communication Club (SCC),scc.uoft@gmail.com
74,Science Students Club (SSC),Laeticia.halbedel@mail.utoronto.ca
75,SH Capital Investment Club at the University of Toronto (SH Capital @ UofT),sam.lu@mail.utoronto.ca
76,Sharpe Financial Research Group,sharpegroup.info@gmail.com
77,Sikh Student Association (SSA),utsgssa@gmail.com
78,Spark Design Club,spark@skule.ca
79,Speech Language Pathology Student Union – SLPSU,uoftslpcouncil@gmail.com
80,Statistical Sciences Union,ssu@utoronto.ca
81,STEM Fellowship UTSG Student Chapter,utsg@stemfellowship.org
82,Strategies for Transitioning and Excelling in Programs Student Association (STEP),step.uoft@gmail.com
83,Student Association for Geriatric Empowerment (SAGE),sage.utsg@gmail.com
84,Student Chapter for Healthcare Improvement at U of T (UTIHI),utihi@studentorg.utoronto.ca
85,Student Dermatology Group at UofT (SDGU),sdguoft@gmail.com
86,Student Publication for Advancing Research and Knowledge in Health Sciences (SPARK Health),uoftspark@gmail.com
87,Students in Data Science and Statistics (SDSS),sdss.uoft@gmail.com
88,Sustainable Engineers Association,chair@sea.skule.ca
89,Synthetic Biology Public Education for Canada (synPEC),synbiopec@gmail.com
90,"TeamUP Science, University of Toronto Student Chapter",teamupscienceuoft@gmail.com
91,Techway Elite Network,TechwayEN@gmail.com
92,Teddy Bear Clinic (TBC),uoft.tbc@gmail.com
93,The Collective Undergraduate Research Experience (CURE),uoftcure@gmail.com
94,The Mindful Project,uoftthemindfulproject@gmail.com
95,The Society for the Pursuit of AGI (SFPAGI),tsfpagi@gmail.com
96,The University of Toronto Alt Protein Project Student Chapter,uoftorontoaltprotein@gmail.com
97,The University of Toronto Piano Pedagogy Student Group,marie.haines@mail.utoronto.ca
98,Toronto Commerce Connect,t.commerceconnect@gmail.com
99,Toronto School of Theology Graduate Students’ Association,tgsa@utoronto.ca
100,Toronto Undergraduate Geography Society (TUGS),uoft.tugs@gmail.com
101,Troitsky Bridge Building Team,troitsky@g.skule.ca
